"IID" "fromBP" "toBP"
"MOK10B.SG" 3987 3813
"MOK13.SG" 3987 3813
"MOK14.SG" 3987 3813
"MOK15.SG" 3987 3813
"MOK16A.SG" 3987 3813
"MOK19A.SG" 3987 3813
"MOK22.SG" 3987 3813
"MOK23.SG" 3987 3813
"MOK24A.SG" 3987 3813
"MOK25A.SG" 3987 3813
"MOK26A.SG" 3987 3813
"MOK28A.SG" 3987 3813
"MOK29A.SG" 3987 3813
"MOK30.SG" 3987 3813
"MOK31.SG" 3987 3813
"MOK32.SG" 3987 3813
"MOK33.SG" 3987 3813
"MOK9B.SG" 3987 3813
"I1584_all" 5845 5695
